track_num,action
0,4
1,4
2,4
3,4
4,4
5,4
6,3
7,2
8,4
9,0
10,4
11,3
12,4
13,2
14,4
15,0
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,0
26,0
27,4
28,3
29,4
30,0
31,4
32,4
33,4
34,4
35,4
36,4
37,0
38,4
39,4
40,3
41,2
42,4
43,4
44,4
45,4
46,0
47,3
48,0
49,4
50,4
51,2
52,3
53,0
54,4
55,2
56,2
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,0
65,4
66,4
67,4
68,4
69,4
70,0
71,0
72,4
73,3
74,4
75,2
76,2
77,4
78,4
79,2
80,4
81,4
82,4
83,4
84,4
85,2
86,2
87,4
88,4
89,4
90,4
91,4
92,0
93,3
94,0
95,4
96,4
97,3
98,0
99,4
100,0
101,0
102,4
103,4
104,4
105,4
106,0
107,4
108,4
109,4
110,4
111,0
112,4
113,0
114,4
115,3
116,4
117,0
118,4
119,3
120,2
121,0
122,4
123,3
124,4
125,4
126,3
127,4
128,4
129,4
130,3
131,4
132,4
133,4
134,2
135,2
136,4
137,4
138,4
139,4
140,2
141,4
142,3
143,3
144,4
145,2
