track_num,action
0,3
1,4
2,3
3,4
4,4
5,0
6,1
7,2
8,4
9,0
10,4
11,1
12,3
13,2
14,4
15,0
16,3
17,3
18,0
19,4
20,4
21,4
22,3
23,4
24,3
25,0
26,0
27,1
28,1
29,3
30,0
31,3
32,3
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,2
42,0
43,4
44,3
45,4
46,0
47,1
48,0
49,1
50,4
51,2
52,1
53,0
54,0
55,2
56,2
57,4
58,4
59,4
60,0
61,3
62,3
63,2
64,0
65,4
66,3
67,4
68,1
69,4
70,0
71,0
72,4
73,3
74,4
75,2
76,2
77,0
78,4
79,2
80,3
81,3
82,4
83,4
84,4
85,2
86,2
87,4
88,3
89,2
90,0
91,4
92,0
93,0
94,0
95,4
96,2
97,1
98,0
99,3
100,0
101,0
102,4
103,4
104,4
105,3
106,0
107,4
108,4
109,3
110,0
111,0
112,4
113,0
114,4
115,2
116,4
117,0
118,4
119,1
120,2
121,0
122,2
123,1
124,3
125,0
126,3
127,3
128,3
129,0
130,1
131,1
132,0
133,3
134,2
135,2
136,4
137,3
138,4
139,0
140,2
141,3
142,1
143,0
144,3
145,2
