time;gFx;gFy;gFz;TgF
0.001748959;0,0102;0,2192;0,7215;0,754
0.002147917;0,0158;0,2184;0,7346;0,767
0.003365104;0,0213;0,2179;0,7497;0,781
0.008609375;0,0271;0,2182;0,7636;0,795
0.011246354;0,0339;0,2192;0,7764;0,807
0.015297396;0,0384;0,2183;0,7788;0,810
0.020319271;0,0398;0,2129;0,7741;0,804
0.031761979;0,0345;0,2041;0,7606;0,788
0.032410417;0,0262;0,1989;0,7520;0,778
0.032711459;0,0136;0,1914;0,7437;0,768
0.035310938;0,0096;0,1899;0,7378;0,762
0.040669271;-0,0012;0,1910;0,7396;0,764
0.043305208;-0,0180;0,1964;0,7424;0,768
0.049310417;-0,0218;0,2061;0,7408;0,769
0.051030729;-0,0309;0,2102;0,7297;0,760
0.057976042;-0,0474;0,2041;0,7187;0,749
0.059082813;-0,0624;0,1962;0,7190;0,748
0.063060938;-0,0660;0,1909;0,7254;0,753
0.067109375;-0,0693;0,1838;0,7373;0,763
0.071120313;-0,0834;0,1742;0,7587;0,783
0.074965104;-0,0906;0,1702;0,7852;0,809
0.078782292;-0,0799;0,1758;0,8185;0,841
0.082794271;-0,0550;0,1824;0,8551;0,876
0.086798438;-0,0399;0,1932;0,8639;0,886
0.09480625;-0,0281;0,2037;0,8922;0,916
0.095221354;-0,0084;0,1871;0,9387;0,957
0.098606771;-0,0104;0,1971;0,9333;0,954
0.102632292;-0,0007;0,2186;0,9590;0,984
0.106826563;0,0305;0,2242;0,9824;1,008
0.110444792;0,0485;0,2239;0,9767;1,003
0.114589583;0,0404;0,2160;0,9637;0,988
0.119874479;0,0270;0,2087;0,9598;0,983
0.123699479;0,0120;0,2150;0,9707;0,994
0.128525521;-0,0021;0,2053;0,9840;1,005
0.130427604;-0,0239;0,1965;0,9908;1,010
0.137554167;-0,0205;0,1965;0,9857;1,005
0.138146354;-0,0110;0,2018;0,9745;0,995
0.142530729;-0,0231;0,2020;0,9674;0,989
0.146260938;-0,0412;0,1942;0,9614;0,982
0.150205729;-0,0409;0,1909;0,9646;0,984
0.155002604;-0,0342;0,1957;0,9819;1,002
0.161145833;-0,0212;0,1979;1,0101;1,030
0.162143229;-0,0174;0,1940;1,0475;1,065
0.166065625;-0,0210;0,1844;1,0766;1,093
0.170256771;-0,0235;0,1737;1,0965;1,110
0.174309896;-0,0170;0,1706;1,1000;1,113
0.178116146;-0,0085;0,1687;1,0963;1,109
0.182204688;0,0058;0,1774;1,0847;1,099
0.186059896;0,0312;0,1963;1,0705;1,089
0.191124479;0,0498;0,2140;1,0679;1,090
0.194021354;0,0582;0,2304;1,0783;1,104
0.198110417;0,0665;0,2544;1,0950;1,126
0.202944792;0,0680;0,2754;1,1080;1,144
0.210188021;0,0616;0,2923;1,1165;1,156
0.210698438;0,0319;0,2873;1,1378;1,174
0.216279167;-0,0057;0,2648;1,1769;1,206
0.217929167;-0,0433;0,2117;1,2419;1,261
0.222615104;-0,0787;0,1542;1,3163;1,328
0.226038542;-0,1234;0,0998;1,4050;1,414
0.231572917;-0,1579;0,0516;1,4737;1,483
0.235195313;-0,1842;0,0171;1,5228;1,534
0.238066667;-0,2048;-0,0024;1,5373;1,551
0.242021875;-0,2201;-0,0081;1,5334;1,549
0.246593229;-0,2281;0,0002;1,5028;1,520
0.250238542;-0,2379;0,0126;1,4517;1,471
0.254128125;-0,2466;0,0353;1,3943;1,416
0.257359896;-0,2324;0,0754;1,3499;1,372
0.261517708;-0,2291;0,1070;1,3250;1,349
0.265495313;-0,2316;0,1268;1,3057;1,332
0.270203646;-0,2337;0,1349;1,2930;1,321
0.273602604;-0,2342;0,1306;1,2886;1,316
0.277679167;-0,2332;0,1196;1,2851;1,312
0.281296875;-0,2267;0,1031;1,2814;1,305
0.285356771;-0,2181;0,0847;1,2877;1,309
0.291802083;-0,2015;0,0659;1,3001;1,317
0.296006771;-0,1933;0,0526;1,3032;1,318
0.297264063;-0,1881;0,0449;1,2995;1,314
0.301383333;-0,1777;0,0436;1,2831;1,296
0.318708854;-0,1715;0,0457;1,2621;1,274
0.320235417;-0,1720;0,0479;1,2329;1,246
0.320474479;-0,1713;0,0510;1,2068;1,220
0.320669271;-0,1781;0,0545;1,2012;1,216
0.321359375;-0,1615;0,0464;1,1747;1,187
0.332010938;-0,1644;0,0547;1,1809;1,194
0.333941146;-0,1738;0,1005;1,2056;1,222
0.334390625;-0,1945;0,1279;1,1972;1,220
0.337955208;-0,2302;0,1250;1,1565;1,186
0.343922396;-0,2551;0,1081;1,1187;1,153
0.344513542;-0,2737;0,0803;1,0668;1,104
0.348703646;-0,2824;0,0537;1,0290;1,068
0.353023438;-0,2820;0,0207;1,0130;1,052
0.357739583;-0,2872;-0,0137;0,9908;1,032
0.376891146;-0,2837;0,0086;0,9622;1,003
0.377365625;-0,2416;0,0325;0,9686;0,999
0.377544792;-0,2007;0,0572;0,9636;0,986
0.377682292;-0,1898;0,0544;0,9663;0,986
0.377814583;-0,1971;0,0395;0,9521;0,973
0.382410938;-0,1996;0,0352;0,9400;0,962
0.38461875;-0,1896;0,0366;0,9583;0,978
0.408907292;-0,1585;0,0427;0,9583;0,972
