time;gFx;gFy;gFz;TgF
0.004401041;-0,3609;0,0786;0,7154;0,805
0.005069791;-0,3665;0,0820;0,7247;0,816
0.00546875;-0,3707;0,0890;0,7421;0,834
0.005821875;-0,3680;0,0932;0,7564;0,846
0.006191146;-0,3589;0,0992;0,7693;0,855
0.00644375;-0,3456;0,1102;0,7934;0,872
0.008007812;-0,3272;0,1205;0,8171;0,888
0.012706771;-0,3064;0,1341;0,8437;0,908
0.030189583;-0,2811;0,1506;0,8791;0,935
0.030852604;-0,2585;0,1653;0,9088;0,959
0.031030208;-0,2387;0,1795;0,9396;0,986
0.031213021;-0,2207;0,1935;0,9678;1,011
0.031380729;-0,2048;0,2007;0,9883;1,029
0.03786875;-0,1957;0,2060;1,0040;1,043
0.039090104;-0,1923;0,2145;1,0175;1,058
0.043108854;-0,1910;0,2160;1,0255;1,065
0.048391666;-0,1923;0,2120;1,0307;1,070
0.05113125;-0,1932;0,2037;1,0323;1,070
0.059448437;-0,1957;0,1928;1,0302;1,066
0.060001562;-0,2022;0,1764;1,0207;1,055
0.064210937;-0,2184;0,1552;1,0049;1,040
0.06679375;-0,2291;0,1368;0,9847;1,020
0.07078125;-0,2451;0,1252;0,9614;1,000
0.076015625;-0,2772;0,1121;0,9378;0,984
0.078707812;-0,2993;0,1023;0,9144;0,968
0.084119271;-0,3160;0,0937;0,8893;0,948
0.086677083;-0,3355;0,0877;0,8650;0,932
0.090733854;-0,3476;0,0851;0,8487;0,921
0.095414062;-0,3542;0,0892;0,8422;0,918
0.111416666;-0,3509;0,0976;0,8418;0,917
0.112546354;-0,3396;0,1085;0,8462;0,918
0.113070312;-0,3158;0,1227;0,8480;0,913
0.116427083;-0,2981;0,1331;0,8492;0,910
0.117501041;-0,2820;0,1431;0,8470;0,904
0.120708333;-0,2714;0,1553;0,8467;0,903
0.1223625;-0,2611;0,1748;0,8392;0,896
0.12854375;-0,2513;0,1910;0,8293;0,887
0.133239062;-0,2389;0,2101;0,8208;0,880
0.13688125;-0,2316;0,2250;0,8140;0,876
0.138385416;-0,2266;0,2397;0,8093;0,874
0.143310416;-0,2223;0,2511;0,8047;0,872
0.149090104;-0,2221;0,2630;0,8012;0,872
0.150280208;-0,2261;0,2719;0,8007;0,875
0.154505208;-0,2304;0,2796;0,8018;0,880
0.158461979;-0,2370;0,2863;0,8038;0,886
0.164379687;-0,2410;0,2922;0,8098;0,894
0.166786979;-0,2439;0,2989;0,8191;0,905
0.172641666;-0,2441;0,3012;0,8323;0,918
0.17527552;-0,2407;0,2992;0,8475;0,930
0.177917187;-0,2370;0,2963;0,8606;0,941
0.183078125;-0,2367;0,2885;0,8762;0,952
0.18620052;-0,2360;0,2832;0,8893;0,963
0.190848437;-0,2396;0,2774;0,9035;0,975
0.193918229;-0,2465;0,2676;0,9177;0,987
0.198157812;-0,2500;0,2559;0,9262;0,993
0.20416302;-0,2589;0,2397;0,9275;0,992
0.206016145;-0,2678;0,2287;0,9322;0,997
0.209915104;-0,2787;0,2206;0,9368;1,002
0.21593802;-0,2842;0,2124;0,9408;1,005
0.217854166;-0,2863;0,2108;0,9448;1,010
0.221840625;-0,2862;0,2102;0,9515;1,016
0.22563177;-0,2892;0,2144;0,9550;1,021
0.231655208;-0,2886;0,2164;0,9559;1,022
0.235664062;-0,2869;0,2185;0,9534;1,019
0.23756875;-0,2825;0,2209;0,9503;1,016
0.242794791;-0,2771;0,2208;0,9412;1,006
0.246796354;-0,2729;0,2219;0,9338;0,998
0.252771354;-0,2679;0,2243;0,9301;0,994
0.253383854;-0,2652;0,2282;0,9326;0,996
0.258771875;-0,2619;0,2333;0,9388;1,002
0.261521354;-0,2632;0,2431;0,9552;1,020
0.265614062;-0,2651;0,2523;0,9761;1,042
0.269214583;-0,2644;0,2642;0,9946;1,063
0.273639583;-0,2571;0,2764;1,0138;1,082
0.277051041;-0,2479;0,2850;1,0284;1,096
0.282115104;-0,2370;0,2900;1,0423;1,108
0.2858;-0,2237;0,2815;1,0508;1,111
0.28945677;-0,2096;0,2582;1,0478;1,099
0.29718802;-0,1998;0,2244;1,0381;1,081
0.297955729;-0,1977;0,1809;1,0247;1,059
0.30110677;-0,2031;0,1461;1,0101;1,041
0.305261979;-0,2170;0,1159;0,9951;1,025
0.309004166;-0,2372;0,0925;0,9852;1,018
0.31416302;-0,2619;0,0786;0,9830;1,020
0.31851875;-0,2877;0,0716;0,9891;1,033
0.321045833;-0,3209;0,0635;1,0110;1,063
0.325071354;-0,3419;0,0585;1,0317;1,088
0.334303125;-0,3607;0,0513;1,0556;1,117
0.33536875;-0,3660;0,0451;1,0748;1,136
0.337147395;-0,3686;0,0383;1,0956;1,157
0.342810937;-0,3694;0,0338;1,1132;1,173
0.346694791;-0,3594;0,0320;1,1298;1,186
0.34890677;-0,3491;0,0319;1,1475;1,200
0.352858333;-0,3348;0,0303;1,1619;1,210
0.356872916;-0,3176;0,0307;1,1784;1,221
0.360643229;-0,3049;0,0328;1,1929;1,232
0.365403125;-0,2938;0,0373;1,2054;1,241
0.368619791;-0,2782;0,0393;1,2127;1,245
0.374923958;-0,2675;0,0400;1,2185;1,248
0.377689583;-0,2554;0,0380;1,2213;1,248
0.383305729;-0,2442;0,0301;1,2214;1,246
0.384980729;-0,2348;0,0134;1,2077;1,230
0.388710416;-0,2335;0,0038;1,1948;1,217
0.39275;-0,2420;-0,0226;1,1766;1,201
0.39945625;-0,2487;-0,0534;1,1675;1,195
0.40116927;-0,2531;-0,0793;1,1499;1,180
0.40435625;-0,2639;-0,1082;1,1296;1,165
0.408471354;-0,2756;-0,1327;1,1175;1,159
0.415790625;-0,2868;-0,1553;1,1039;1,151
0.417076562;-0,2907;-0,1713;1,0880;1,139
0.42043802;-0,2930;-0,1807;1,0708;1,125
0.425405729;-0,2934;-0,1840;1,0557;1,111
0.428057291;-0,2856;-0,1840;1,0459;1,100
0.432274479;-0,2818;-0,1749;1,0406;1,092
0.437280208;-0,2774;-0,1587;1,0473;1,095
0.440678125;-0,2629;-0,1432;1,0629;1,104
0.444067187;-0,2601;-0,1242;1,0812;1,119
0.448551041;-0,2628;-0,1017;1,1010;1,136
0.454422916;-0,2664;-0,0815;1,1146;1,149
0.45668177;-0,2671;-0,0563;1,1246;1,157
0.459982812;-0,2666;-0,0370;1,1308;1,162
0.464218229;-0,2609;-0,0220;1,1333;1,163
0.467799479;-0,2536;-0,0096;1,1347;1,163
0.474880208;-0,2444;0,0022;1,1397;1,166
0.476640104;-0,2417;0,0141;1,1469;1,172
0.480242187;-0,2333;0,0246;1,1486;1,172
0.484355208;-0,2237;0,0276;1,1447;1,167
0.487879166;-0,2193;0,0259;1,1470;1,168
0.492594791;-0,2071;0,0220;1,1486;1,167
0.497455208;-0,1941;0,0097;1,1449;1,161
0.499933333;-0,1821;-0,0026;1,1354;1,150
0.503602083;-0,1676;-0,0171;1,1269;1,139
