time;gFx;gFy;gFz;TgF
0.003864062;0,0205;0,0149;1,0053;1,006
0.004066667;0,0206;0,0153;1,0060;1,006
0.004248958;0,0206;0,0144;1,0052;1,006
0.009361979;0,0206;0,0140;1,0056;1,006
0.011016146;0,0201;0,0143;1,0059;1,006
0.015323437;0,0204;0,0138;1,0055;1,006
0.021709375;0,0211;0,0146;1,0048;1,005
0.023221354;0,0205;0,0147;1,0050;1,005
0.0271875;0,0193;0,0154;1,0048;1,005
0.031089062;0,0204;0,0153;1,0038;1,004
0.03620625;0,0207;0,0140;1,0044;1,005
0.039404167;0,0221;0,0145;1,0052;1,006
0.043188542;0,0216;0,0142;1,0056;1,006
0.04715;0,0210;0,0150;1,0054;1,006
0.0539625;0,0218;0,0148;1,0051;1,005
0.055223437;0,0207;0,0141;1,0058;1,006
0.059171875;0,0214;0,0150;1,0054;1,006
0.063160417;0,0213;0,0134;1,0057;1,006
0.066975521;0,0224;0,0133;1,0045;1,005
0.071279687;0,0204;0,0140;1,0063;1,007
0.077692187;0,0215;0,0141;1,0058;1,006
0.079585937;0,0212;0,0160;1,0040;1,004
0.083122917;0,0218;0,0145;1,0050;1,005
0.097575521;0,0215;0,0147;1,0067;1,007
0.098453646;0,0218;0,0145;1,0055;1,006
0.098875;0,0225;0,0148;1,0049;1,005
0.099120312;0,0212;0,0151;1,0049;1,005
0.105073437;0,0212;0,0151;1,0049;1,005
0.106888021;0,0204;0,0144;1,0054;1,006
0.112157812;0,0209;0,0146;1,0048;1,005
0.11526875;0,0200;0,0144;1,0047;1,005
0.120030729;0,0215;0,0149;1,0057;1,006
0.122903646;0,0210;0,0147;1,0046;1,005
0.126816146;0,0204;0,0143;1,0057;1,006
0.131018229;0,0193;0,0148;1,0042;1,004
0.136288021;0,0205;0,0147;1,0039;1,004
0.138961458;0,0220;0,0148;1,0050;1,005
0.142627604;0,0220;0,0145;1,0049;1,005
0.146739583;0,0215;0,0136;1,0051;1,005
0.152345833;0,0216;0,0135;1,0054;1,006
0.156711458;0,0220;0,0127;1,0036;1,004
0.158659896;0,0220;0,0150;1,0067;1,007
0.162936458;0,0221;0,0150;1,0054;1,006
0.166718229;0,0206;0,0149;1,0046;1,005
0.171073958;0,0208;0,0155;1,0051;1,005
0.174782292;0,0218;0,0151;1,0043;1,005
0.178769792;0,0205;0,0152;1,0061;1,006
0.182415104;0,0205;0,0162;1,0055;1,006
0.186813021;0,0205;0,0152;1,0046;1,005
0.190764583;0,0211;0,0145;1,0056;1,006
0.195201562;0,0206;0,0148;1,0034;1,004
0.198934375;0,0214;0,0146;1,0054;1,006
0.205041146;0,0213;0,0144;1,0054;1,006
0.206446875;0,0204;0,0142;1,0046;1,005
0.210800521;0,0207;0,0144;1,0056;1,006
0.214735417;0,0201;0,0140;1,0048;1,005
0.219878125;0,0203;0,0148;1,0060;1,006
0.222441146;0,0205;0,0144;1,0057;1,006
0.227483854;0,0211;0,0145;1,0054;1,006
0.230368229;0,0208;0,0136;1,0056;1,006
0.239169792;0,0208;0,0155;1,0040;1,004
0.239807292;0,0214;0,0168;1,0049;1,005
0.242284375;0,0218;0,0156;1,0039;1,004
0.246126562;0,0203;0,0165;1,0048;1,005
0.249903646;0,0211;0,0146;1,0045;1,005
0.253484896;0,0205;0,0150;1,0053;1,006
0.261825;0,0200;0,0157;1,0062;1,007
0.262188542;0,0213;0,0136;1,0055;1,006
0.266003125;0,0207;0,0137;1,0053;1,006
0.270895833;0,0208;0,0140;1,0057;1,006
0.274148958;0,0210;0,0154;1,0048;1,005
0.280420833;0,0221;0,0150;1,0052;1,006
0.282789062;0,0206;0,0159;1,0053;1,006
0.302563542;0,0214;0,0150;1,0053;1,006
0.303706771;0,0225;0,0147;1,0050;1,005
0.304256771;0,0218;0,0155;1,0056;1,006
0.304699479;0,0219;0,0156;1,0057;1,006
0.305178646;0,0215;0,0156;1,0044;1,005
0.305524479;0,0211;0,0152;1,0054;1,006
0.310374479;0,0219;0,0142;1,0055;1,006
0.3143625;0,0225;0,0155;1,0059;1,006
0.319020833;0,0222;0,0144;1,0058;1,006
0.3219375;0,0217;0,0150;1,0047;1,005
0.325235937;0,0212;0,0152;1,0045;1,005
0.329320833;0,0225;0,0164;1,0049;1,005
0.335571875;0,0211;0,0151;1,0059;1,006
0.33783125;0,0201;0,0144;1,0057;1,006
0.341690104;0,0219;0,0142;1,0055;1,006
0.345284896;0,0217;0,0143;1,0053;1,006
0.349989062;0,0219;0,0140;1,0034;1,004
0.354382812;0,0208;0,0151;1,0050;1,005
0.357576042;0,0211;0,0151;1,0054;1,006
0.361817708;0,0206;0,0155;1,0052;1,006
0.365800521;0,0209;0,0155;1,0050;1,005
0.383807812;0,0214;0,0152;1,0041;1,004
0.387094792;0,0214;0,0146;1,0052;1,006
0.387745312;0,0203;0,0142;1,0053;1,006
0.388301042;0,0211;0,0149;1,0056;1,006
0.388809375;0,0215;0,0150;1,0048;1,005
0.389340104;0,0206;0,0150;1,0037;1,004
0.395208854;0,0195;0,0162;1,0053;1,006
0.396844792;0,0207;0,0147;1,0048;1,005
0.403289583;0,0213;0,0151;1,0051;1,005
0.405516667;0,0211;0,0154;1,0045;1,005
0.409227604;0,0194;0,0155;1,0048;1,005
0.413657812;0,0203;0,0154;1,0041;1,004
0.41931875;0,0215;0,0159;1,0050;1,005
0.420025521;0,0212;0,0135;1,0064;1,007
0.424838542;0,0201;0,0150;1,0069;1,007
0.428847396;0,0202;0,0154;1,0068;1,007
0.433543229;0,0210;0,0144;1,0053;1,006
0.436964583;0,0214;0,0153;1,0049;1,005
0.440532292;0,0211;0,0159;1,0054;1,006
0.446133854;0,0205;0,0148;1,0040;1,004
0.44925625;0,0193;0,0145;1,0044;1,005
0.453456771;0,0215;0,0152;1,0058;1,006
0.456709375;0,0212;0,0144;1,0044;1,005
0.460546875;0,0220;0,0168;1,0051;1,006
0.466070833;0,0211;0,0160;1,0050;1,005
0.469738021;0,0215;0,0158;1,0054;1,006
0.474534896;0,0213;0,0155;1,0047;1,005
0.477628125;0,0215;0,0147;1,0053;1,006
0.480470312;0,0214;0,0160;1,0063;1,007
0.485383854;0,0197;0,0151;1,0048;1,005
0.488526562;0,0210;0,0156;1,0054;1,006
0.49281875;0,0210;0,0150;1,0045;1,005
0.496320312;0,0209;0,0165;1,0043;1,005
0.502783333;0,0214;0,0149;1,0052;1,006
0.504196354;0,0222;0,0156;1,0048;1,005
0.508341667;0,0207;0,0146;1,0045;1,005
0.512371875;0,0205;0,0151;1,0039;1,004
0.516310937;0,0203;0,0143;1,0043;1,005
0.523357812;0,0220;0,0156;1,0048;1,005
0.5247125;0,0217;0,0150;1,0058;1,006
0.528169271;0,0212;0,0157;1,0053;1,006
0.532371354;0,0195;0,0148;1,0064;1,007
0.536274479;0,0206;0,0148;1,0056;1,006
0.540251562;0,0218;0,0155;1,0046;1,005
0.544179687;0,0212;0,0151;1,0055;1,006
0.547806771;0,0211;0,0156;1,0053;1,006
0.553959896;0,0195;0,0146;1,0047;1,005
0.5557625;0,0217;0,0159;1,0055;1,006
0.560256771;0,0217;0,0156;1,0049;1,005
0.568470312;0,0209;0,0154;1,0041;1,004
0.569189583;0,0207;0,0148;1,0061;1,006
0.571505208;0,0205;0,0142;1,0059;1,006
0.576172396;0,0202;0,0135;1,0047;1,005
0.580048437;0,0202;0,0145;1,0047;1,005
0.586507812;0,0221;0,0143;1,0045;1,005
0.587953125;0,0219;0,0142;1,0043;1,005
0.592080729;0,0208;0,0154;1,0069;1,007
0.595750521;0,0227;0,0144;1,0051;1,005
0.599673958;0,0223;0,0148;1,0048;1,005
0.603236979;0,0218;0,0147;1,0065;1,007
0.607639062;0,0216;0,0147;1,0045;1,005
0.611335937;0,0218;0,0156;1,0046;1,005
0.615351041;0,0224;0,0144;1,0049;1,005
0.621566146;0,0225;0,0146;1,0039;1,004
0.623321875;0,0207;0,0156;1,0052;1,006
0.626950521;0,0216;0,0150;1,0055;1,006
0.631598958;0,0218;0,0155;1,0056;1,006
0.6378375;0,0210;0,0146;1,0054;1,006
0.639166666;0,0203;0,0147;1,0056;1,006
0.642932812;0,0223;0,0141;1,0058;1,006
0.646996875;0,0221;0,0148;1,0060;1,006
0.652776562;0,0209;0,0151;1,0046;1,005
0.655095312;0,0210;0,0149;1,0053;1,006
0.658986979;0,0210;0,0155;1,0046;1,005
0.662946354;0,0213;0,0154;1,0059;1,006
0.667939583;0,0202;0,0145;1,0043;1,005
0.671217708;0,0204;0,0159;1,0045;1,005
0.674616146;0,0222;0,0155;1,0041;1,004
0.679247916;0,0216;0,0160;1,0057;1,006
0.684844271;0,0213;0,0155;1,0066;1,007
0.688225521;0,0217;0,0150;1,0059;1,006
0.690746354;0,0215;0,0153;1,0064;1,007
0.694969271;0,0214;0,0140;1,0040;1,004
0.699016146;0,0213;0,0149;1,0048;1,005
