time;gFx;gFy;gFz;TgF
0.004030729;0,0260;0,3174;0,7665;0,830
0.004527604;0,0333;0,3238;0,7880;0,853
0.004790104;0,0425;0,3309;0,8068;0,873
0.005040625;0,0680;0,3227;0,8111;0,876
0.010296354;0,0801;0,3249;0,8238;0,889
0.011414584;0,0840;0,3364;0,8484;0,916
0.016594792;0,0821;0,3472;0,8772;0,947
0.023185938;0,0766;0,3531;0,8902;0,961
0.02385;0,0626;0,3487;0,8915;0,959
0.027111459;0,0403;0,3435;0,8850;0,950
0.030586459;0,0233;0,3352;0,8776;0,940
0.036391146;0,0047;0,3297;0,8725;0,933
0.038663021;-0,0457;0,3163;0,8789;0,935
0.042818229;-0,0782;0,3068;0,8850;0,940
0.046692709;-0,0806;0,3084;0,8905;0,946
0.050720834;-0,0744;0,3116;0,9040;0,959
0.056901563;-0,0761;0,3125;0,9212;0,976
0.05918125;-0,0860;0,3079;0,9468;0,999
0.076898959;-0,0965;0,3054;0,9765;1,028
0.078167188;-0,0960;0,3022;0,9932;1,043
0.078746354;-0,0827;0,3001;1,0057;1,053
0.07945;-0,0564;0,3013;1,0185;1,064
0.080033854;-0,0320;0,3033;1,0367;1,081
0.082654167;-0,0047;0,3036;1,0651;1,108
0.089466667;0,0284;0,3007;1,1126;1,153
0.09468125;0,0558;0,2958;1,1595;1,198
0.095710938;0,0821;0,2936;1,2111;1,249
0.09868125;0,0932;0,2925;1,2504;1,287
0.103169792;0,1045;0,2918;1,2840;1,321
0.106817188;0,1153;0,2637;1,2947;1,326
0.110244792;0,1268;0,2051;1,2555;1,278
0.114310938;0,1175;0,2079;1,2241;1,247
0.119944792;0,0959;0,2217;1,2232;1,247
0.122305729;0,0736;0,2411;1,2494;1,275
0.126141146;0,0609;0,2515;1,2840;1,310
0.130185417;0,0534;0,2544;1,2960;1,322
0.135997917;0,0500;0,2562;1,2857;1,312
0.137878646;0,0433;0,2643;1,2694;1,297
0.141720834;0,0278;0,2595;1,2645;1,291
0.14600625;0,0258;0,2531;1,2524;1,278
0.149798438;0,0325;0,2476;1,2326;1,258
0.154164063;0,0395;0,2461;1,2030;1,229
0.157842188;0,0415;0,2318;1,1718;1,195
0.161955729;0,0402;0,2164;1,1424;1,163
0.170055729;0,0271;0,2181;1,1140;1,135
0.170599479;0,0133;0,2318;1,1176;1,141
0.174166146;-0,0067;0,2468;1,1412;1,168
0.1777;-0,0272;0,2653;1,1864;1,216
0.181701042;-0,0676;0,2699;1,2526;1,283
0.186119271;-0,1651;0,2441;1,4143;1,445
0.189623438;-0,2341;0,2430;1,4960;1,534
0.194525521;-0,2025;0,2674;1,4732;1,511
0.198891146;-0,1566;0,2873;1,4554;1,492
0.218898438;-0,1454;0,2991;1,4474;1,485
0.220511459;-0,1582;0,2977;1,4212;1,461
0.221221875;-0,1677;0,2921;1,3674;1,408
0.221863021;-0,1681;0,2766;1,2945;1,334
0.223190625;-0,1594;0,2632;1,2360;1,274
0.223770834;-0,0787;0,2679;1,1361;1,170
0.24033125;-0,0795;0,2540;1,1135;1,145
0.2419;-0,0824;0,2419;1,0710;1,101
0.242410938;-0,0932;0,2294;1,0287;1,058
0.242791667;-0,0940;0,2123;0,9777;1,005
0.243228125;-0,0836;0,1982;0,9338;0,958
0.252181771;-0,0673;0,1927;0,8766;0,900
0.25296875;-0,0643;0,1695;0,8006;0,821
0.253234896;-0,0902;0,1380;0,7425;0,761
0.258204688;-0,1116;0,1493;0,6838;0,709
0.261304688;-0,1232;0,1686;0,6253;0,659
0.265835938;-0,1204;0,1804;0,6032;0,641
0.271032813;-0,1228;0,1877;0,6275;0,666
0.273241146;-0,1422;0,1892;0,7064;0,745
0.277107813;-0,1609;0,1860;0,8004;0,837
0.281656771;-0,1968;0,1858;0,9179;0,957
0.287228125;-0,2535;0,2074;1,0607;1,110
0.289320834;-0,3050;0,2161;1,1823;1,240
0.293034375;-0,3351;0,2135;1,2748;1,335
0.297057813;-0,3496;0,1991;1,3497;1,408
0.304135938;-0,3417;0,1805;1,3666;1,420
0.304929167;-0,3429;0,1561;1,3659;1,417
0.308903646;-0,3520;0,1237;1,3433;1,394
0.314780209;-0,3507;0,0987;1,3015;1,352
0.317820834;-0,3392;0,0760;1,2407;1,288
0.322147917;-0,3182;0,0479;1,1570;1,201
0.327270834;-0,2950;0,0266;1,0706;1,111
0.328833854;-0,2684;0,0035;0,9681;1,005
0.332884375;-0,2483;-0,0135;0,8824;0,917
0.342415104;-0,2226;-0,0272;0,7947;0,826
0.343991667;-0,1982;-0,0409;0,7103;0,739
0.345588021;-0,1813;-0,0506;0,6554;0,682
0.349677604;-0,1724;-0,0570;0,6115;0,638
0.362977604;-0,1716;-0,0647;0,5775;0,606
0.364330729;-0,1826;-0,0694;0,5638;0,597
0.364929167;-0,1998;-0,0750;0,5681;0,607
0.367294271;-0,2175;-0,0789;0,5819;0,626
0.374185417;-0,2342;-0,0810;0,6033;0,652
0.376083854;-0,2576;-0,0840;0,6386;0,694
0.376834896;-0,2778;-0,0888;0,6826;0,742
0.3805625;-0,3011;-0,0941;0,7338;0,799
0.387394792;-0,3255;-0,0998;0,7964;0,866
0.391076042;-0,3299;-0,1066;0,8502;0,918
0.392298959;-0,3192;-0,1190;0,8792;0,943
0.396178125;-0,3138;-0,1363;0,9068;0,969
0.400986459;-0,3044;-0,1598;0,9240;0,986
0.407210417;-0,2923;-0,1902;0,9500;1,012
